
=== RUN 2026-09-18T16:40:36.346890 seed=42 pop=80 elite=10 mut_rate=0.15 sigma=0.25 crossover=0.5 gens=5000 ===

MILESTONE gen 1: FIRST BIRD SURVIVES 100+ FRAMES
MILESTONE gen 1: FIRST PIPE PASSED
2026-09-18T16:40:36.418456 gen=1 best=202.0 avg=39.7 score=1 alive=102 dt=0.07s
2026-09-18T16:40:36.469492 gen=2 best=58.0 avg=48.7 score=0 alive=58 dt=0.04s
2026-09-18T16:40:36.549396 gen=3 best=201.0 avg=53.9 score=1 alive=101 dt=0.07s
2026-09-18T16:40:36.629624 gen=4 best=201.0 avg=50.7 score=1 alive=101 dt=0.07s
2026-09-18T16:40:36.711075 gen=5 best=201.0 avg=52.7 score=1 alive=101 dt=0.07s
2026-09-18T16:40:36.793209 gen=6 best=203.0 avg=54.4 score=1 alive=103 dt=0.07s
2026-09-18T16:40:36.870881 gen=7 best=196.0 avg=54.5 score=1 alive=96 dt=0.07s
2026-09-18T16:40:36.923561 gen=8 best=60.0 avg=52.5 score=0 alive=60 dt=0.04s
2026-09-18T16:40:36.974957 gen=9 best=59.0 avg=52.6 score=0 alive=59 dt=0.04s
2026-09-18T16:40:37.027549 gen=10 best=60.0 avg=51.1 score=0 alive=60 dt=0.04s
2026-09-18T16:40:37.080625 gen=11 best=61.0 avg=50.7 score=0 alive=61 dt=0.04s
2026-09-18T16:40:37.132841 gen=12 best=60.0 avg=54.5 score=0 alive=60 dt=0.04s
2026-09-18T16:40:37.203544 gen=13 best=187.0 avg=56.9 score=1 alive=87 dt=0.06s
2026-09-18T16:40:37.255571 gen=14 best=60.0 avg=54.5 score=0 alive=60 dt=0.04s
2026-09-18T16:40:37.305327 gen=15 best=56.0 avg=54.6 score=0 alive=56 dt=0.04s
2026-09-18T16:40:37.355015 gen=16 best=56.0 avg=55.5 score=0 alive=56 dt=0.04s
2026-09-18T16:40:37.404573 gen=17 best=56.0 avg=55.3 score=0 alive=56 dt=0.04s
2026-09-18T16:40:37.456317 gen=18 best=60.0 avg=55.1 score=0 alive=60 dt=0.04s
